Author,event_start_date,event_end_date,event_title,event_type,lecture_title,org_inst,coverage,participants,proof
Soumen Nandi,01.08.2017,02.09.2017,Discrete Mathematics & its Applications,Series of Invited talks (10 Lectures),Topic on Discrete Mathematics,"Department of Computer Science, Ramakrishna Mission Rcsidential College, Narendrapur",National,30,https://drive.google.com/file/d/17qhUZCiJj-XSnqTiYXiET3wTcqnOYxJp/view?usp=sharing
Soumen Nandi,08.10.2018,08.10.2018,Randomised Algorithm,Invited Talk,"""Introduction to Radomized Algorithms""","Ramakrishna Mission Vivekananda Educational and Research Institute, Belur",National,40,https://drive.google.com/file/d/12YZ5tfWaGoVfBHLZT-73c341ZKnJ_FQ5/view?usp=sharing
Soumen Nandi,08.10.2018,08.10.2018,Graph coloring,Invited Talk,"""Give me a graph and I will color it""","Ramakrishna Mission Vivekananda Educational and Research Institute, Belur",National,40,https://drive.google.com/file/d/12YZ5tfWaGoVfBHLZT-73c341ZKnJ_FQ5/view?usp=sharing
Soumen Nandi,28.01.2019,28.01.2019,Applications of Graph Homomorphisms,"Invited Talk, Indo-French project under IFCAM (MA/IFCAM/18/39)","""Distance constrained graph labeling""","Ramakrishna Mission Vivekananda Educational and Research Institute, Belur",International,50,https://drive.google.com/file/d/1F88VDt6K2k9dxXriYMMS4CwIxe3PPQg9/view?usp=sharing
Soumen Nandi,11.02.2019,12.02.2019,Indo-Italian Pre-Conference School on Algorithms & Combinatorics,Pre-Conference school of the conference CALDAM 2019,"""Distance constrained graph labeling""","Indian Institute of Technology, Kharagpur",International,80,http://cse.iitkgp.ac.in/conf/CALDAM/conferenceschool.php?1625905214
Soumen Nandi,19.04.2019,19.04.2019,Graph Optimisation,Seminar,"""Distance constrained graph labeling""","University Of Bordeaux, France",International,30,https://drive.google.com/file/d/1hOvJtoW2pFnifsob7KO9DXM5aDaNavqZ/view?usp=sharing
Soumen Nandi,29.07.2020,30.07.2020,Recent Trends in Computer Science,Webinar,"""Randomised algorithm an Introduction""","Department of Computer Science, Maheshtala College, Kolkata",National,100,https://drive.google.com/file/d/1MTHJlh0YQuaSFwG52sF8AMFuB_7gylRk/view?usp=sharing
Soumen Nandi,16.09.2020,16.09.2020,Recent Trends in Computer Science & Application,Webinar,"""Randomised algorithm an Introduction""","Department of Computer Science, Raja Narendra Lal Khan Women’s College (Autonomous), Midnapore",International,100,https://drive.google.com/file/d/1sXOlz3-ZQDyQcENW4lKXJoww71sr1aJl/view?usp=sharing
Soumen Nandi,16.12.2020,16.12.2020,Theoretical Computer Science & Applications,Webinar,"""Brussels Sprouts to Euler""","Department of Computer Science, Ramakrishna Mission Rcsidential College, Narendrapur",National,100,https://drive.google.com/file/d/1_kDjq35x9pN6Jft5BKfj69Bp04Lc-s3L/view?usp=sharing
Soumen Nandi,02.12.2020,22.12.2020,Radio k-coloring and related topics,Series of Lectures (5 Lectures),"""Radio labeling of some graph classes""","Department of Mathematics, Indian Institute of Technology Dharwad, Karnataka",National,12,https://drive.google.com/file/d/1E7F7lhh6_q2vlxB5eCLq71OTeQX2RH5T/view?usp=sharing
Dr. Kakoli Dutta,05.06.2021,05.06.2021,World Environment Day,Webinar,Biocomputing,Silver Point School,National,50,https://drive.google.com/file/d/11_og9Y9Mubwb34tNw9AAQLsqY_7O21On/view?usp=sharing
Dr. Samapika Das Biswas,10-11-2019,13-10-2019,Stress Management,Webinar,Effect of stress on work-life (Occupational Stress),Administrative Training Institute,National,156,https://drive.google.com/file/d/1M8OsIfLAuGnY-8Vhi8EMv6UXHf_LXuz4/view?usp=sharing
Dr. Samapika Das Biswas,07-10-2021,07-10-2021,Communicative Competence in English,Webinar,Communicative Competence in English,"S. S. Maniyar Law College, Jalgaon",National,220,https://drive.google.com/file/d/1--2_tw1ocSTP5BoH4XlkRoagzb3nP7a-/view?usp=sharing
Dr. Samapika Das Biswas,17-06-2021,17-06-2021,Councelling,Webinar,Carrier Councelling,College Dekho,National,250,https://drive.google.com/file/d/1cCcISop-d7wAm29DbwWEGE03G3M3MO3y/view?usp=sharing
Dr. Samapika Das Biswas,12-06-2021,12-06-2021,Cyber Security,Webinar,Cyber Security,PRSI Kolkta Chapter,National,280,https://drive.google.com/file/d/1FUx16xqaFLHLLZ6kwzxSfJ41GS7C-WB5/view?usp=sharing
Dr. Samapika Das Biswas,19-06-2021,19-06-2021,R-Plus Interview,Live Telecast,R-Plus Interview,R-Plus,National,230,https://www.youtube.com/watch?v=ZfWMCPsHKDk
Dr. Samapika Das Biswas,25-07-2021,25-07-2021,Virangana,Workshop,Enhancing Mental Stamina,Rotary Sadar,International,180,https://drive.google.com/file/d/1QGjEobtks5zj8tEwF5pauhsJzk9uGsE3/view?usp=sharing
Dr. Samapika Das Biswas,11-08-2021,11-08-2021,Virangana,Workshop,Enhancing Mental Stamina,Rorat Club of Calcutta Mid Town,International,220,https://drive.google.com/file/d/1e5qtcjzMsOWzHh4QHsPxZJCsd1FZ_-DV/view?usp=sharing
Dr. Samapika Das Biswas,14-08-2021,14-08-2021,Virangana,Workshop,Enhancing Mental Stamina,Calcutta Harmony,International,240,https://drive.google.com/file/d/1o8qV5LXugA6Kk8SzPBVXp9yMyEeKpEnZ/view?usp=sharing
Dr. Samapika Das Biswas,15-08-2021,15-08-2021,Virangana,Workshop,Enhancing Mental Stamina,Rotary Club of Calcutta Kakurgachi,International,210,https://docs.google.com/document/d/1J3GOWM6zqusTyQ32NZjd2u8n7S22xA6d/edit?usp=sharing&ouid=108418678139001919103&rtpof=true&sd=true
Dr. Samapika Das Biswas,15-08-2022,15-08-2022,Virangana,Workshop,Enhancing Mental Stamina,Rotary Club of Calcutta South Circle,International,230,https://drive.google.com/file/d/1YOtMyiBytArS4qAjPs0ZQJ0fM8Ervu1A/view?usp=sharing
